"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","657","TestCartItemDisplayed","","Sun Aug 10 16:23:54 UTC 2025","broken","Sun Aug 10 16:23:54 UTC 2025","","","CartTests","TestCartItemDisplayed"
"","60579","TestLoginWithValidCredentials","","Sun Aug 10 16:27:59 UTC 2025","broken","Sun Aug 10 16:28:59 UTC 2025","","","LoginTests","TestLoginWithValidCredentials"
"","62763","TestPageTitle","","Sun Aug 10 16:27:16 UTC 2025","broken","Sun Aug 10 16:28:19 UTC 2025","","","InventoryTests","TestPageTitle"
"","60331","TestAddToCartByIndex","","Sun Aug 10 16:25:16 UTC 2025","broken","Sun Aug 10 16:26:16 UTC 2025","","","InventoryTests","TestAddToCartByIndex"
"","60695","TestCompleteOrder","","Sun Aug 10 16:24:56 UTC 2025","broken","Sun Aug 10 16:25:56 UTC 2025","","","CheckoutTests","TestCompleteOrder"
"","60563","TestLoginWithLockedOutUser","","Sun Aug 10 16:26:58 UTC 2025","broken","Sun Aug 10 16:27:59 UTC 2025","","","LoginTests","TestLoginWithLockedOutUser"
"","60674","TestContinueToNextStep","","Sun Aug 10 16:25:56 UTC 2025","broken","Sun Aug 10 16:26:57 UTC 2025","","","CheckoutTests","TestContinueToNextStep"
"","60334","TestLoginWithInvalidCredentials","","Sun Aug 10 16:25:58 UTC 2025","broken","Sun Aug 10 16:26:58 UTC 2025","","","LoginTests","TestLoginWithInvalidCredentials"
"","60470","TestLogout","","Sun Aug 10 16:24:13 UTC 2025","broken","Sun Aug 10 16:25:13 UTC 2025","","","HiddenMenuTests","TestLogout"
"","12","Login_WithValidUser_ShouldReturnSuccess","","Sun Aug 10 16:29:02 UTC 2025","failed","Sun Aug 10 16:29:02 UTC 2025","","","LoginApiTests","Login_WithValidUser_ShouldReturnSuccess"
"","60596","TestCheckoutPageLoaded","","Sun Aug 10 16:23:55 UTC 2025","broken","Sun Aug 10 16:24:56 UTC 2025","","","CheckoutTests","TestCheckoutPageLoaded"
"","60335","TestInventoryDisplay","","Sun Aug 10 16:26:16 UTC 2025","broken","Sun Aug 10 16:27:16 UTC 2025","","","InventoryTests","TestInventoryDisplay"
"","60339","TestOpenMenu","","Sun Aug 10 16:25:13 UTC 2025","broken","Sun Aug 10 16:26:13 UTC 2025","","","HiddenMenuTests","TestOpenMenu"
"","60723","TestClickCheckout","","Sun Aug 10 16:24:56 UTC 2025","broken","Sun Aug 10 16:25:56 UTC 2025","","","CartTests","TestClickCheckout"
"","60364","AddToCartByName","","Sun Aug 10 16:24:15 UTC 2025","broken","Sun Aug 10 16:25:16 UTC 2025","","","InventoryTests","AddToCartByName"
"","362","Login_WithInvalidUser_ShouldReturnUnauthorized","","Sun Aug 10 16:29:01 UTC 2025","failed","Sun Aug 10 16:29:02 UTC 2025","","","LoginApiTests","Login_WithInvalidUser_ShouldReturnUnauthorized"
